2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20250515.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20250522.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20250529.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20250605.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20250612.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20250619.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20250626.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20250703.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20250710.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20250717.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20250724.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20250731.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20250807.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20250814.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20250821.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20250828.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20250904.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20250911.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20250918.zip because it falls outside the requested filename date range
